Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
366,Hugo Sotelo,Celta de Vigo,0.3,0.0,718,17,ESP
366,Ilaix Moriba,Getafe,0.3,0.0,606,14,GUI
366,Jaume Costa,Mallorca,0.3,0.0,1681,30,ESP
366,Joan Jordán,Sevilla,0.3,0.0,378,8,ESP
366,Jon Magunazelaia,Real Sociedad,0.3,0.0,118,5,ESP
366,Mamadou Mbaye,Cádiz,0.3,0.0,286,4,SEN
366,Martin Valjent,Mallorca,0.3,0.0,2354,28,SVK
366,Miguel Rodriguez,Celta de Vigo,0.3,0.0,291,15,ESP
366,Mihailo Ristic,Celta de Vigo,0.3,0.0,807,12,SRB
366,Raul Torrente,Granada CF,0.3,0.0,1252,17,ESP
366,Rominigue Kouamé,Cádiz,0.3,0.0,820,16,MLI
366,Shon Weissman,Granada CF,0.3,0.0,78,5,ISR
366,Sokratis Papastathopoulos,Real Betis,0.3,0.0,1135,15,GRE
366,Stefan Savic,Atlético de Madrid,0.3,0.0,1631,23,MNE
366,Yeray Álvarez,Athletic Club,0.3,0.0,1155,19,ESP
392,Bruno Langa,Almería,0.2,1.0,819,11,MOZ
392,Hugo Guillamon,Valencia CF,0.2,1.0,1305,26,ESP
392,Jesus Areso,Osasuna,0.2,1.0,2661,37,ESP
392,Kaiky,Almería,0.2,1.0,520,8,BRA
392,Sergi Altimira,Real Betis,0.2,1.0,566,14,ESP
397,Aiham Ousou,Cádiz,0.2,0.0,429,6,SYR
397,Alejo Veliz,Sevilla,0.2,0.0,31,6,ARG
397,Arnau Martinez,Girona,0.2,0.0,1240,21,ESP
397,Carlos Dotor,Celta de Vigo,0.2,0.0,702,17,ESP
397,Enrique Barja,Osasuna,0.2,0.0,293,16,ESP
397,Eric Bailly,Villarreal,0.2,0.0,838,10,CIV
397,Faitout Maouassa,Granada CF,0.2,0.0,244,6,FRA
