Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
349,Selim Amallah,Valencia CF,4.0,0.6,597,20,MAR
349,Sergi Altimira,Real Betis,4.0,0.6,566,14,ESP
351,Rominigue Kouamé,Cádiz,4.0,0.4,820,16,MLI
352,Bruno Méndez,Granada CF,4.0,0.3,1336,17,URU
352,José Copete,Mallorca,4.0,0.3,1335,19,ESP
352,José Luis Morales,Villarreal,4.0,0.3,1037,29,ESP
352,Youssouf Sabaly,Real Betis,4.0,0.3,1048,12,SEN
356,Abdul Mumin,Rayo Vallecano,4.0,0.2,1695,20,GHA
356,César Montes,Almería,4.0,0.2,1792,21,MEX
356,David Lopez,Girona,4.0,0.2,1975,25,ESP
356,Gabriel Paulista,Atlético de Madrid,4.0,0.2,1806,23,BRA
356,Guido Rodriguez,Real Betis,4.0,0.2,1849,24,ARG
361,Aitor Paredes,Athletic Club,4.0,0.1,2706,34,ESP
361,Antonio Sivera,Alavés,4.0,0.1,3060,34,ESP
361,Fali,Cádiz,4.0,0.1,2550,30,ESP
361,Germán Pezzella,Real Betis,4.0,0.1,2770,32,ARG
361,Juan Brandariz,Almería,4.0,0.1,2432,31,ESP
361,Predrag Rajkovic,Mallorca,4.0,0.1,3240,36,SRB
361,Sergio Ramos,Sevilla,4.0,0.1,2518,28,ESP
368,Denis Suárez,Villarreal,3.0,2.1,130,4,ESP
369,Enes Ünal,Getafe,3.0,2.0,138,3,TUR
370,Bebé,Rayo Vallecano,3.0,1.4,193,19,CPV
370,Cédric Bakambu,Real Betis,3.0,1.4,195,4,COD
372,Arnau Puigmal,Almería,3.0,1.1,248,11,ESP
373,Héctor Fort,Barcelona,3.0,0.8,320,7,ESP
374,Amath Ndiaye,Mallorca,3.0,0.7,388,15,SEN
374,Jhon Solis,Girona,3.0,0.7,369,18,COL
376,Williot Swedberg,Celta de Vigo,3.0,0.6,434,15,SWE
377,Jesus Vázquez,Valencia CF,3.0,0.4,705,20,ESP
377,Kevin Vázquez,Celta de Vigo,3.0,0.4,706,12,ESP
379,Aridane Hernández,Rayo Vallecano,3.0,0.2,1691,19,EQG
379,Carlos Dominguez,Celta de Vigo,3.0,0.2,1585,22,ESP
379,Jon Pacheco,Real Sociedad,3.0,0.2,1521,23,ESP
379,Omar Mascarell,Mallorca,3.0,0.2,1573,29,EQG
379,Raul Torrente,Granada CF,3.0,0.2,1252,17,ESP
379,Yeray Álvarez,Athletic Club,3.0,0.2,1155,19,ESP
385,Abdelkabir Abqar,Alavés,3.0,0.1,2314,27,MAR
385,Axel Witsel,Atlético de Madrid,3.0,0.1,2784,35,BEL
385,Paulo Gazzaniga,Girona,3.0,0.1,3420,38,ARG
385,Raul Albiol,Villarreal,3.0,0.1,2035,26,ESP
385,Robin Le Normand,Real Sociedad,3.0,0.1,2473,29,ESP
